키워드,노출수,클릭수,클릭률,평균순위
1인사업자 마케팅,4820,318,6.6%,4.2
ai 마케팅 자동화,3960,241,6.1%,5.8
챗gpt 블로그 글쓰기,3410,205,6.0%,6.4
소상공인 온라인 광고,2870,133,4.6%,8.1
ai 마케팅 툴 추천,2540,119,4.7%,9.3
1인기업 업무 자동화,2180,84,3.9%,10.7
ai 콘텐츠 제작 방법,1980,31,1.6%,12.4
claude 사용법,1840,26,1.4%,13.1
마케팅 자동화 프로그램,1610,22,1.4%,14.6
ai 블로그 자동 포스팅,1470,19,1.3%,15.2
소상공인 마케팅 교육,1320,17,1.3%,16.8
ai 광고 카피 만들기,1180,14,1.2%,17.5
1인사업자 seo,1050,11,1.0%,18.9
ai 에이전트 만들기,940,9,1.0%,19.6
인스타 릴스 자동화,880,7,0.8%,21.3
ai 마케팅 강의,3120,42,1.3%,11.2
바이브코딩 뜻,2740,35,1.3%,12.8
노코드 자동화 도구,860,6,0.7%,22.4
키워드 분석 무료,790,5,0.6%,24.1
ai 이메일 마케팅,720,4,0.6%,25.7
스마트스토어 상세페이지 ai,680,3,0.4%,27.2
1인사업자 세무,610,3,0.5%,29.8
ai 이미지 생성 무료,3280,12,0.4%,31.5
마케팅 대행사 비용,540,2,0.4%,33.1
블로그 상위노출 방법,2960,9,0.3%,34.7
ai 챗봇 만들기,480,2,0.4%,36.2
구글 애즈 초보,430,1,0.2%,38.9
ai 영상 편집,2410,6,0.2%,41.3
온라인 창업 아이템,390,1,0.3%,43.6
프리랜서 마케팅,350,1,0.3%,45.2
ai 자동화 부업,1870,4,0.2%,47.8
전자책 제작 방법,310,0,0.0%,49.4
디지털 노마드 수익화,280,0,0.0%,52.1
ai 툴 비교,1540,3,0.2%,54.6
카페24 seo 설정,240,0,0.0%,56.3
ai 마케팅 비용,210,0,0.0%,58.7
1인사업자 협업 도구,180,0,0.0%,61.2
마케팅 퍼널 설계,160,0,0.0%,63.8
ai 데이터 분석 입문,140,0,0.0%,66.4
소상공인 지원금 신청,120,0,0.0%,69.1
