날짜,캠페인,노출수,클릭수,광고비,전환수,전환매출
2026-07-06,브랜드검색_1인사업자마케팅,219,20,10300,1,89000
2026-07-06,검색_AI마케팅교육,934,43,50500,2,178000
2026-07-06,검색_소상공인광고,705,24,33600,2,178000
2026-07-06,디스플레이_리타겟팅,5000,35,59500,1,89000
2026-07-06,유튜브_인지도,944,17,17500,0,0
2026-07-07,브랜드검색_1인사업자마케팅,241,22,9900,1,89000
2026-07-07,검색_AI마케팅교육,978,45,51100,3,267000
2026-07-07,검색_소상공인광고,823,28,35000,1,89000
2026-07-07,디스플레이_리타겟팅,5714,40,65000,1,89000
2026-07-07,유튜브_인지도,1333,24,21600,0,0
2026-07-08,브랜드검색_1인사업자마케팅,219,20,9900,2,178000
2026-07-08,검색_AI마케팅교육,934,43,53600,2,178000
2026-07-08,검색_소상공인광고,823,28,37700,2,178000
2026-07-08,디스플레이_리타겟팅,4428,31,58800,1,89000
2026-07-08,유튜브_인지도,1000,18,17400,0,0
2026-07-09,브랜드검색_1인사업자마케팅,219,20,9500,1,89000
2026-07-09,검색_AI마케팅교육,869,40,46400,2,178000
2026-07-09,검색_소상공인광고,852,29,37700,2,178000
2026-07-09,디스플레이_리타겟팅,5285,37,61000,1,89000
2026-07-09,유튜브_인지도,1222,22,21700,0,0
2026-07-10,브랜드검색_1인사업자마케팅,252,23,10500,1,89000
2026-07-10,검색_AI마케팅교육,1130,52,55700,3,267000
2026-07-10,검색_소상공인광고,705,24,33500,1,89000
2026-07-10,디스플레이_리타겟팅,5285,37,66100,1,89000
2026-07-10,유튜브_인지도,1166,21,20500,0,0
2026-07-11,브랜드검색_1인사업자마케팅,241,22,10900,1,89000
2026-07-11,검색_AI마케팅교육,1000,46,51400,2,178000
2026-07-11,검색_소상공인광고,735,25,35000,2,178000
2026-07-11,디스플레이_리타겟팅,5428,38,62000,1,89000
2026-07-11,유튜브_인지도,1111,20,19500,0,0
2026-07-12,브랜드검색_1인사업자마케팅,296,27,12600,2,178000
2026-07-12,검색_AI마케팅교육,1000,46,51400,3,267000
2026-07-12,검색_소상공인광고,794,27,33600,1,89000
2026-07-12,디스플레이_리타겟팅,5571,39,64800,1,89000
2026-07-12,유튜브_인지도,1222,22,19800,0,0
2026-07-13,브랜드검색_1인사업자마케팅,252,23,11000,1,89000
2026-07-13,검색_AI마케팅교육,1108,51,54900,2,178000
2026-07-13,검색_소상공인광고,823,28,37600,1,89000
2026-07-13,디스플레이_리타겟팅,5285,37,63100,1,89000
2026-07-13,유튜브_인지도,1166,21,19900,0,0
2026-07-14,브랜드검색_1인사업자마케팅,252,23,11400,1,89000
2026-07-14,검색_AI마케팅교육,804,37,45100,2,178000
2026-07-14,검색_소상공인광고,911,31,40700,1,89000
2026-07-14,디스플레이_리타겟팅,5142,36,59100,1,89000
2026-07-14,유튜브_인지도,1388,25,22700,0,0
2026-07-15,브랜드검색_1인사업자마케팅,241,22,11400,1,89000
2026-07-15,검색_AI마케팅교육,1000,46,51300,3,267000
2026-07-15,검색_소상공인광고,735,25,36200,1,89000
2026-07-15,디스플레이_리타겟팅,5571,39,63700,0,0
2026-07-15,유튜브_인지도,1222,22,20800,0,0
2026-07-16,브랜드검색_1인사업자마케팅,285,26,11500,2,178000
2026-07-16,검색_AI마케팅교육,891,41,45000,2,178000
2026-07-16,검색_소상공인광고,823,28,35400,0,0
2026-07-16,디스플레이_리타겟팅,5142,36,62100,0,0
2026-07-16,유튜브_인지도,1333,24,21100,0,0
2026-07-17,브랜드검색_1인사업자마케팅,252,23,10800,1,89000
2026-07-17,검색_AI마케팅교육,869,40,48600,3,267000
2026-07-17,검색_소상공인광고,882,30,39700,1,89000
2026-07-17,디스플레이_리타겟팅,5714,40,67000,0,0
2026-07-17,유튜브_인지도,1111,20,20400,0,0
2026-07-18,브랜드검색_1인사업자마케팅,252,23,11800,1,89000
2026-07-18,검색_AI마케팅교육,956,44,47800,2,178000
2026-07-18,검색_소상공인광고,794,27,34400,1,89000
2026-07-18,디스플레이_리타겟팅,5428,38,61800,0,0
2026-07-18,유튜브_인지도,1333,24,21800,0,0
2026-07-19,브랜드검색_1인사업자마케팅,252,23,10200,1,89000
2026-07-19,검색_AI마케팅교육,956,44,50900,2,178000
2026-07-19,검색_소상공인광고,823,28,38000,0,0
2026-07-19,디스플레이_리타겟팅,4714,33,60100,0,0
2026-07-19,유튜브_인지도,1166,21,21200,0,0
